"","Nazwa_IZFiA","OZZ17","TER17","OB17","Profil17","PW17","NW17","Aktywa17","OZN17","OZU17","OZW17","OZZ18","OZN18","OZU18","OZW18","TER18","OB18","Profil18","PW18","NW18","Aktywa18","TFI","Lokalizacja","mean_daily_log_rr_16","std_daily_log_rr_16","var16_5","var16_95","es16","eg16","mean_daily_log_rr_17","std_daily_log_rr_17","var17_5","var17_95","es17","eg17","Data_utworzenia","yearly_rr_17","yearly_rr_16","yearly_std_16","yearly_std_17","zm.akt.17.18.proc","zm.akt.17.18.flow.proc","sr16","sr17","Wiek"
"13","Allianz SFIO PIMCO Global High Yield Bond","1.55","","1.58","d³u¿ne",500,100,4.28082412916472,"3",0,"0",1.55,2.5,0,0,1.41,"1.7","d³u¿ne ",500,100,4.19720194766181,"Allianz","zagraniczne",NA,NA,NA,NA,NA,NA,"0.000198708","0.001261045","-0.00371554","0.703558153","0.00037502","0.079635014",2016-07-08,"0.049677082",NA,NA,"0.316522329",-0.0802213001383126,-0.129898382138313,NA,0.112715845712105,2.0958904109589
"14","Allianz SFIO PIMCO Global Investment Grade Credit","1.55","","1.49","d³u¿ne",500,100,1.84054963339749,"3",0,"0",1.05,2.5,0,0,1.71,"1.72","d³u¿ne ",500,100,2.14006616349627,"Allianz","zagraniczne",NA,NA,NA,NA,NA,NA,"0.000179327","0.001482893","-0.002427903","0.673551949","-0.000118217","-0.031119131",2016-07-08,"0.044831838",NA,NA,"0.372206178",0.349206349206349,0.304374511206349,NA,0.0828353741081643,2.0958904109589
"15","Allianz SFIO PIMCO Income","1.55","","1.75","d³u¿ne",500,100,4.57882621064849,"3",0,"0",1.55,2.5,0,0,1.72,"1.72","d³u¿ne ",500,100,5.77081787599236,"Allianz","zagraniczne",NA,NA,NA,NA,NA,NA,"0.000196654","0.000783309","-0.001247234","0.353339562","0.000124444","0.040605567",2016-07-08,"0.049163577",NA,NA,"0.196610584",2.29363449691992,2.24447091991992,NA,0.178848850782113,2.0958904109589
"16","Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwotu Rynku Polskiego","3.6","3.87","3.25","absolutnej stopy zwrotu",1000,100,5.67057034045009,"4",0,"20",3.6,4,0,20,3.97,"3.83","absolutnej stopy zwrotu",1000,100,4.8338981155962,"Altus","zagraniczne","0.000250274","0.002661674","-0.005250764","1.312691094","2.46182E-05","0.012473649","8.07061E-05","0.002333401","-0.004596751","1.000590363","0.00023478","0.060385822",2012-09-28,"0.020015112","0.062318301","0.665418494","0.58101687",-0.566850447966919,-0.586865559966919,0.0711105889401385,0.0103527320988115,5.87397260273973
"17","Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu D³u¿ny","1.5","1.64","1.53","absolutnej stopy zwrotu",1000,100,6.15400847629326,"2",0,"20",1.5,2,0,20,3,"1.59","absolutnej stopy zwrotu",1000,100,6.14804085415008,"Altus","zagraniczne","0.000193179","0.001559832","-0.002880475","0.720118689","-1.06992E-05","-0.000336929","0.000222414","0.000846392","-0.00327477","0.483568554","0.000332917","0.053707632",2012-09-28,"0.055158787","0.048101499","0.38995804","0.210751584",-0.00594985125371868,-0.0611086382537187,0.0848847711923057,0.195295267626553,5.87397260273973
"18","Altus FIO Parasolowy Subfundusz Absolutnej Stopy Zwrotu Nowej Europy","2.8","4.1","3.88","absolutnej stopy zwrotu",1000,100,4.03953632572711,"4",0,"20",3.6,4,0,20,5.59,"4.04","absolutnej stopy zwrotu",1000,100,3.53805656437935,"Altus","zagraniczne","0.000165909","0.003032242","-0.005046879","1.261719665","2.46544E-05","0.0323939","0.000251326","0.002595748","-0.004982305","1.153825255","0.000187222","0.039827981",2014-04-14,"0.062328957","0.041311307","0.758060531","0.646341211",-0.394366197183099,-0.456695154183099,0.0347087151012747,0.0747731324840433,4.33150684931507
"19","Altus FIO Parasolowy Subfundusz Akcji","3.6","4.07","3.3","akcji",1000,100,3.97029191355212,"4",0,"20",3.6,4,0,20,4.01,"3.93","akcji ",1000,100,3.42100000895834,"Altus","polskie","0.00045181","0.007018771","-0.012829316","3.207328988","-0.000175708","0.051650565","0.000668061","0.005640385","-0.013598367","2.494427543","0.000189815","0.113716091",2012-09-28,"0.165679167","0.112500671","1.754692693","1.404455855",-0.422641509433962,-0.588320676433962,0.0555656676459415,0.107998529437581,5.87397260273973
"20","Altus FIO Parasolowy Subfundusz Aktywnego Zarz¹dzania","3.25","4.48","3.71","mieszane",1000,100,2.64617479738412,"3",0,"20",3,3.25,0,20,4.13,"4.1","mieszane",1000,100,2.2082744135228,"Altus","zagraniczne","0.000232751","0.003589845","-0.0072144","1.803600033","-8.17386E-06","0.005928656","0.00024842","0.0031063","-0.006169173","1.434412532","0.000221664","0.055432881",2013-08-30,"0.061608081","0.057955083","0.89746115","0.773468709",-0.354609929078014,-0.416218010078014,0.0478628885495489,0.0615513988426906,4.95342465753425
"21","Altus FIO Parasolowy Subfundusz Optymalnego Wzrostu","2.8","3.49","3.02","absolutnej stopy zwrotu",1000,100,2.97552956623647,"3",0,"20",2.8,3,0,20,4,"3.93","absolutnej stopy zwrotu",1000,100,2.36085400111802,"Altus","zagraniczne","2.95931E-05","0.002584485","-0.003816873","0.954218138","4.15288E-05","0.019677291","-7.32738E-06","0.002739984","-0.003876813","1.180610665","2.66387E-05","0.000450496",2014-04-14,"-0.001817191","0.007368694","0.646121145","0.682256022",-0.459183673469388,-0.457366482469388,-0.011810952263449,-0.0231836590516749,4.33150684931507
"22","Altus FIO Parasolowy Subfundusz Pieniê¿ny","0.95","1.13","1.08","pieniê¿ne",1000,100,5.18234519029562,"0",0,"20",0.95,0,0,20,1.42,"1.08","gotówkowe i pieniê¿ne ",1000,100,5.28269598564508,"Altus","polskie","9.43047E-05","0.000731485","-0.001059211","0.264802707","3.63813E-05","0.010629852","9.51686E-05","0.000424451","-0.001392038","0.246284031","9.72694E-05","0.02191823",2013-11-22,"0.023601812","0.023481872","0.182871371","0.105688363",0.105558674901741,0.0819568629017407,0.0463816285382363,0.0908502291780222,4.72328767123288
"23","Altus FIO Parasolowy Subfundusz Short","3.6","3.74","3.57","akcji",1000,100,2.23001440015921,"4",0,"20",3.6,4,0,20,3.71,"5.4","akcji ",1000,100,2.61006979274201,"Altus","polskie","-0.000366702","0.008720055","-0.014042542","3.510635515","0.000673286","0.189287937","-0.000723329","0.007062405","-0.014845067","3.229478072","-0.000285916","-0.093485604",2012-09-28,"-0.179385542","-0.091308762","2.180013644","1.758538822",0.462365591397849,0.641751133397849,-0.0487651819485585,-0.109969447123187,5.87397260273973
"24","Altus FIO Parasolowy Subfundusz Stabilnego Wzrostu","2.8","3.35","3.45","mieszane",1000,100,2.82731362192903,"3",0,"20",2.8,3,0,20,3.73,"3.72","mieszane",1000,100,2.51769647261099,"Altus","zagraniczne","0.000109507","0.002395857","-0.004422211","1.105552666","2.6613E-05","-0.005120899","5.49158E-05","0.002010775","-0.004212981","0.932337885","7.13701E-05","0.029497709",2013-05-31,"0.013619128","0.027267126","0.598964203","0.500683056",-0.266272189349112,-0.279891317349112,0.0204805661816821,-0.000760704792055118,5.2027397260274
"25","Amundi Subfundusz P³ynnoœciowy","0.3","0.55","0.55","pieniê¿ne",500,100,6.07027572753227,"5",0,"0",0.5,5,0,0,0.52,"0.72","gotówkowe i pieniê¿ne ",500,100,6.83292396835913,"Amundi","polskie","5.1005E-05","0.000181435","-0.00046293","0.11619553","5.58327E-05","0.01429548","8.29255E-05","0.000144026","-0.000357526","0.061020279","5.60411E-05","0.012652693",2014-03-05,"0.02064845","0.012751239","0.045540068","0.036006562",1.14394639556377,1.12329794556377,-0.0493798340397735,0.184645509893447,4.44109589041096
