"","Nazwa_IZFiA","OZZ17","TER17","OB17","Profil17","PW17","NW17","Aktywa17","OZN17","OZU17","OZW17","OZZ18","OZN18","OZU18","OZW18","TER18","OB18","Profil18","PW18","NW18","Aktywa18","TFI","Lokalizacja","mean_daily_log_rr_16","std_daily_log_rr_16","var16_5","var16_95","es16","eg16","mean_daily_log_rr_17","std_daily_log_rr_17","var17_5","var17_95","es17","eg17","Data_utworzenia","yearly_rr_17","yearly_rr_16","yearly_std_16","yearly_std_17","zm.akt.17.18.proc","zm.akt.17.18.flow.proc","sr16","sr17","Wiek"
"41","Arka Presti¿ Europejskich Spó³ek Dywidendowych","2.5","3.13","2.63","akcji",10000,1000,3.87535902105655,"2",1,"0",2.5,0,NA,0,2.87,"3.58","akcji ",10000,1000,3.40452517175483,"Arka Presti¿","zagraniczne","7.02325E-05","0.008014298",NA,NA,NA,NA,"0.000134896","0.004153327","-0.013166538","2.282540344","0.000250884","0.025614932",2016-02-19,"0.03358908","0.015240454","1.747117067","1.038331837",-0.37551867219917,-0.40910775219917,0.000137629014415667,0.0188659148279588,2.47945205479452
"42","Arka Presti¿ Gotówkowy","0.8","0.97","0.95","pieniê¿ne",10000,1000,5.81948928236817,"2",1,"0",0.8,0,NA,0,0.95,"0.95","gotówkowe i pieniê¿ne ",10000,1000,6.97335573606609,"Arka Presti¿","polskie","4.02877E-05","0.000414278","-0.000690766","0.173382343","4.01088E-05","0.011453972","0.000102051","0.000216721","-0.000765493","0.123785369","5.29793E-05","0.010815368",2013-11-22,"0.025410639","0.010071931","0.103983755","0.054180284",2.17042755344418,2.14501691444418,-0.0473926816741711,0.210605005318909,4.72328767123288
"43","Arka Presti¿ Obligacji Korporacyjnych Subfundusz","1.8","1.69","1.72","d³u¿ne",10000,1000,8.16377009733511,"2",1,"0",1.8,0,NA,0,1.8,"1.8","d³u¿ne ",10000,1000,8.31713119954535,"Arka Presti¿","polskie","0.000119812","0.000775107","-0.001068654","0.268232164","5.64693E-05","0.010583412","0.000168269","0.000329253","-0.001172877","0.253775231","0.00010288","0.031721457",2011-05-27,"0.041898915","0.029952952","0.194551901","0.082313295",0.165745856353591,0.123846941353591,0.0768584214450827,0.338935708988445,7.21643835616438
"44","Arka Presti¿ Obligacji Skarbowych Subfundusz","1.5","1.5","1.51","d³u¿ne",10000,1000,5.79909265446053,"2",1,"0",1.5,0,NA,0,1.51,"1.51","d³u¿ne ",10000,1000,5.76079272937298,"Arka Presti¿","polskie","-2.63563E-05","0.001882174","-0.002820842","0.708031246","-2.77841E-05","0.006584054","0.00019202","0.0013529","-0.002540252","0.764981645","-1.75808E-05","-0.004684649",2010-11-16,"0.047812893","-0.006589069","0.472425677","0.338224981",-0.0375757575757575,-0.0853886505757575,-0.0456983395506676,0.0999716014471445,7.74246575342466
"45","Aviva Investors  Obligacji","1.75","1.75","1.76","d³u¿ne",1000,100,6.56484234553094,"2",0,"0",1.75,2,0,0,1.76,"1.76","d³u¿ne ",1000,100,6.5876877463862,"Aviva Investors","polskie","-8.0341E-06","0.001510089","-0.002449243","0.614760072","-2.2754E-05","0.002478744","0.000129527","0.000889702","-0.002476378","0.515421574","1.94162E-05","0.009203841",2002-04-08,"0.032252333","-0.002008526","0.379032303","0.222425421",0.0231083556432295,-0.0091439773567705,-0.0448735526375439,0.0820604628640896,16.3561643835616
"46","Aviva Investors  Polskich Akcji","4","4.05","4.02","akcji",1000,100,6.77273706730405,"5",0,"0",4,4.5,0,0,4.03,"4.03","akcji ",1000,100,6.67695750873107,"Aviva Investors","polskie","0.000513935","0.006923734","-0.013243455","3.324107165","-0.000357361","-0.028703831","0.000445253","0.005695101","-0.013050542","2.505383142","0.000456403","0.102663234",2002-04-08,"0.110868021","0.128483835","1.73785716","1.423775235",-0.0913356987524323,-0.202203719752432,0.0653010141523944,0.0680360344938856,16.3561643835616
"47","Aviva Investors  Stabilnego Inwestowania","3","3.03","3.02","mieszane",1000,100,5.78781720359927,"3",0,"0",3,3,0,0,3.03,"3.03","mieszane",1000,100,5.68323957342487,"Aviva Investors","zagraniczne","0.000113982","0.002430705","-0.004882808","1.225584749","-8.78151E-05","-0.02031345","0.000156638","0.001759372","-0.004836612","0.776992753","2.69325E-05","0.013439531",2002-04-08,"0.039002765","0.028495593","0.610107036","0.439842896",-0.0992951271835735,-0.138297892183573,0.0221200415725086,0.0568447625899589,16.3561643835616
"48","Aviva Investors Depozyt Plus","1","1.01","1.01","pieniê¿ne",1000,100,5.22682136484297,"1",0,"0",1,1,0,0,1.01,"1.01","gotówkowe i pieniê¿ne ",1000,100,5.23324536980432,"Aviva Investors","polskie","1.66453E-05","0.00037456","-0.000635392","0.159483269","2.17908E-05","0.006985235","8.0582E-05","0.000241326","-0.000734564","0.121871734","2.13107E-05","0.004017312",2002-04-08,"0.020064924","0.004161329","0.094014538","0.060331591",0.00644468313641255,-0.0136202408635875,-0.11528718037204,0.100526505259906,16.3561643835616
"49","Aviva Investors D³u¿nych Papierów Korporacyjnych","1","1.15","1.02","d³u¿ne",1000,100,6.93925394604151,"1",0,"10",1,1,0,10,1.18,"1.01","d³u¿ne ",1000,100,6.96025284793989,"Aviva Investors","polskie","0.000164952","0.000460099","-0.000874813","0.219577961","0.000112108","0.022830746","0.000125867","0.000212799","-0.00086482","0.12988247","0.00015606","0.037760623",2011-11-18,"0.031340825","0.041237994","0.115484759","0.053199813",0.0212209302325582,-0.0101198947674418,0.227198759621605,0.325956502892219,6.73698630136986
"50","Aviva Investors FIO Aktywnej Alokacji","2","2.23","2.05","mieszane",1000,100,4.8652240913224,"1",0,"10",2,1,0,10,2.85,"2.07","mieszane",1000,100,4.78498861256393,"Aviva Investors","zagraniczne","0.000161166","0.007249211","-0.013464717","3.379643976","-0.000125826","-0.028753323","0.000276212","0.003420729","-0.01471669","1.927783429","-0.000777786","-0.018439934",2004-10-05,"0.068776841","0.040291463","1.819551904","0.85518234",-0.07710100231303,-0.14587784331303,0.0138998304716676,0.0640528205949622,13.8602739726027
"51","Aviva Investors Lokacyjny","0.25","","0.27","d³u¿ne",500000,1000,5.43109847778186,"0",0,"0",0.25,0,0,0,0.26,"0.26","d³u¿ne ",1000,100,5.88109148962661,"Aviva Investors","polskie",NA,NA,NA,NA,NA,NA,"9.63018E-05","0.000168176","-0.000240885","0.072512924","5.33317E-05","0.015407623",2016-08-22,"0.023979136",NA,NA,"0.042043928",0.56830122591944,0.54432208991944,NA,0.237350230454205,1.97260273972603
"52","Aviva Investors Ma³ych Spó³ek","4","4.02","4.03","akcji",1000,100,5.23697373630699,"5",0,"0",4,4.5,0,0,4.03,"4.03","akcji ",1000,100,4.71581670607516,"Aviva Investors","polskie","0.000396678","0.006016564","-0.011399305","2.861225605","5.24708E-05","0.080036811","-0.000173743","0.005250446","-0.0110035","2.158117795","0.000268214","0.108094648",2008-04-08,"-0.043261988","0.099169434","1.510157439","1.312611474",-0.406166932482722,-0.362904944482722,0.0557355357966753,-0.0436244761943929,10.3506849315068
"53","Aviva Investors Nowoczesnych Technologii","4","4.13","4.04","akcji",1000,100,5.14633100955016,"5",0,"0",4,4.5,0,0,4.04,"4.04","akcji ",1000,100,4.74753742727501,"Aviva Investors","polskie","0.000452209","0.005283389","-0.009569683","2.401990444","-6.24065E-05","0.035702216","7.67736E-05","0.004493044","-0.009595077","1.893491973","0.000573078","0.101991246",2008-04-08,"0.019116626","0.113052358","1.326130658","1.123261104",-0.328870779976717,-0.347987405976717,0.0739386857610828,0.00455515283292494,10.3506849315068
"54","Aviva Investors Nowych Spó³ek","4","4.09","4.04","akcji",1000,100,4.95017732505914,"5",0,"0",4,4.5,0,0,4.04,"4.04","akcji ",1000,100,4.52396013056255,"Aviva Investors","polskie","0.00031326","0.004570537","-0.009394309","2.357971496","-4.05983E-05","0.063695759","6.72771E-05","0.004364224","-0.008454385","1.776003277","0.000367921","0.089652123",2008-04-08,"0.016751988","0.078315108","1.147204876","1.091055983",-0.347025495750708,-0.363777483750708,0.0551907591438794,0.00252231603408017,10.3506849315068
"55","Aviva Investors Obligacji Dynamiczny","1.5","1.8","1.52","d³u¿ne",1000,100,6.43807159854732,"2",0,"10",1.5,2,0,10,1.81,"1.52","d³u¿ne ",1000,100,6.33114591467014,"Aviva Investors","polskie","9.48594E-05","0.001399482","-0.002441639","0.61285132","0.000104093","0.029587213","0.000178386","0.000864685","-0.001919508","0.517943468","0.000111192","0.038439715",2011-11-18,"0.044418032","0.023714838","0.35126997","0.21617125",-0.101407549584133,-0.145825581584133,0.0248095161678637,0.140712661836391,6.73698630136986
"56","Aviva Investors Ochrony Kapita³u Plus","2.5","2.55","2.55","mieszane",1000,100,4.23410650459726,"3",0,"0",2.5,2.5,0,0,2.55,"2.55","mieszane",1000,100,3.91999117507732,"Aviva Investors","zagraniczne","0.000112192","0.002005411","-0.003575378","0.897419788","1.51285E-05","0.009942177","4.26148E-05","0.001244468","-0.00377248","0.619561059","4.88746E-05","0.023399697",2004-10-06,"0.010611087","0.028047923","0.503358208","0.311117083",-0.269565217391304,-0.280176304391304,0.025921744778621,-0.0108927255530999,13.8575342465753
"57","Aviva Investors Optymalnego Wzrostu","2.5","2.57","2.57","mieszane",1000,100,3.43398720448515,"4",0,"10",2.5,3.5,0,10,2.61,"2.61","mieszane",1000,100,3.01553490085017,"Aviva Investors","zagraniczne","9.93973E-05","0.005410041","-0.011389348","2.858726309","-0.000450184","-0.122356717","-0.000186912","0.003780579","-0.009432652","1.812617941","-2.99588E-05","-0.026501141",2010-05-10,"-0.046540999","0.02484933","1.357920233","0.94514481",-0.341935483870968,-0.295394484870968,0.00725324636944267,-0.0640547335809843,8.26301369863014
"58","Aviva Investors Zrównowa¿ony","3.5","3.57","3.56","mieszane",1000,100,4.48525988931553,"0",0,"0",3.5,3.5,0,0,3.56,"3.56","mieszane",1000,100,4.27388447605418,"Aviva Investors","zagraniczne","0.000270765","0.004143584","-0.007918938","1.987653417","-0.000219045","-0.011933498","0.000219595","0.003115891","-0.007825384","1.425490937","9.07807E-05","0.03845318",2006-12-29,"0.054679178","0.067691212","1.040039673","0.778972673",-0.190529875986471,-0.245209053986471,0.0506626942874322,0.0522215726045116,11.627397260274
"59","Aviva Oszczêdnoœciowy","0.95","0.9","1.59","absolutnej stopy zwrotu",1000,100,5.62365643017692,"0",0,"0",0.95,0,0,0,0.96,"1.59","absolutnej stopy zwrotu",1000,100,5.91620206260743,"Aviva","zagraniczne","6.39886E-05","0.001987188","-0.003141056","0.788404997","-0.000252295","-0.053120583","-7.0727E-05","0.001925187","-0.003072029","0.835187045","4.92274E-05","0.012455075",2015-11-12,"-0.017611021","0.015997142","0.49878415","0.481296872",0.339833875045143,0.357444896045143,0.00199914532167873,-0.0656788415612225,2.75068493150685
"60","AXA FIO Subfundusz Akcji","4","4.23","4.15","akcji",500,100,5.62401750618734,"5",0,"0",4,5,0,0,4.25,"4.25","akcji ",100,100,5.60543435163842,"AXA","polskie","0.000241197","0.008781482","-0.015011708","3.767938605","-0.000709654","-0.192221778","0.000646856","0.006723324","-0.016138274","3.123529473","-3.87324E-05","0.041542635",2010-07-05,"0.161067025","0.060299185","2.204151939","1.680830985",-0.0184115523465705,-0.17947857734657,0.0205517524443219,0.0874966170379112,8.10958904109589
"61","AXA FIO Subfundusz Akcji Ma³ych I Œrednich Spó³ek","4","4.29","3.98","akcji",500,100,4.59612944133594,"5",0,"0",4,5,0,0,4.19,"4.19","akcji ",100,100,4.74666974826179,"AXA","polskie","0.000576375","0.007862195","-0.013634344","3.422220368","-0.000126893","0.012080963","0.000598531","0.005363785","-0.014593699","2.65064815","-0.00014704","0.100380926",2014-03-11,"0.149034286","0.144093643","1.973410861","1.340946316",0.162462159434914,0.0134278734349143,0.0654165057825736,0.100700739760263,4.42465753424658
"62","AXA FIO Subfundusz Lokacyjny","0.8","0.89","0.89","pieniê¿ne",500,100,5.87633423985435,"0",0,"0",0.8,0,0,0,0.88,"0.9","gotówkowe i pieniê¿ne ",100,100,5.85478534819273,"AXA","polskie","6.32517E-05","0.000242658","-0.000460602","0.115611081","5.88456E-05","0.014183649","9.78331E-05","0.000193903","-0.000476436","0.079283636","8.39034E-05","0.015621172",2010-07-05,"0.024360442","0.015812921","0.060907237","0.048475694",-0.0213183730715288,-0.0456788150715288,0.0133468704219829,0.213724469834305,8.10958904109589
"63","AXA FIO Subfundusz Makro Alokacji","","","","",500,100,4.7397010789457,"4",0,"0",3.75,4,0,0,4.13,"3.98","mieszane",100,100,4.64918707140487,"AXA","zagraniczne","4.21221E-05","0.004969821","-0.008762668","2.199429553","-0.000497314","-0.129299216","0.000413945","0.003896709","-0.009049345","1.761450435","1.44346E-05","-0.008212542",2010-07-05,"0.103072185","0.010530519","1.247424964","0.974177302",-0.0865384615384616,-0.189610646538462,-0.00358296581276371,0.0914332378891743,8.10958904109589
"64","AXA FIO Subfundusz Obligacji","1.5","1.58","1.58","d³u¿ne",500,100,6.25363648538967,"2",0,"0",1.5,2,0,0,1.58,"1.58","d³u¿ne ",100,100,6.11235386438344,"AXA","polskie","-1.56966E-05","0.001499293","-0.002560964","0.642801996","-2.01593E-05","0.006598402","0.000139398","0.001016327","-0.002514959","0.546134605","1.34719E-05","-0.000695619",2010-07-05,"0.034710149","-0.003924138","0.376322433","0.254081795",-0.131756106943643,-0.166466255943643,-0.0502870313872572,0.081509771292351,8.10958904109589
"65","AXA FIO Subfundusz Obligacji Korporacyjnych","1.5","1.65","1.64","d³u¿ne",500,100,4.704110133843,"2",0,"0",1.5,2,0,0,1.5,"1.67","d³u¿ne ",100,100,4.39321382406445,"AXA","polskie","0.000105705","0.000450803","-0.000808971","0.203051622","2.28796E-05","0.001364877","6.914E-05","0.000219791","-0.00084655","0.130378187","7.67491E-05","0.029438051",2010-07-05,"0.01721585","0.026426306","0.113151561","0.054947688",-0.267210144927536,-0.284425994927536,0.100982309912631,0.0585256653564751,8.10958904109589
"66","AXA FIO Subfundusz Sektywny Akcji Polskich","4","4.36","4.16","akcji",500,100,4.79247928429309,"5",0,"0",4,5,0,0,4.3,"4.3","akcji ",100,100,4.52720864451838,"AXA","polskie","0.00036176","0.008515758","-0.014844482","3.725964903","-0.000471265","-0.127878695","0.000746513","0.00632233","-0.015933707","2.98803439","9.40083E-05","0.059140227",2010-07-05,"0.185881717","0.090440055","2.137455341","1.580582559",-0.233001658374793,-0.418883375374793,0.0352943303904098,0.108745801363736,8.10958904109589
"67","AXA FIO Subfundusz Selective Equity","4","4.48","4.21","akcji",500,100,4.84103250971008,"5",0,"0",4,5,0,0,4.51,"4.17","akcji ",100,100,4.98360662170834,"AXA","zagraniczne","0.000280534","0.009480219","-0.017202091","4.317724934","-0.000702505","-0.18654394","0.001047108","0.006970274","-0.017595529","3.183439991","0.00033119","0.065183439",2010-07-05,"0.260729926","0.070133425","2.379534884","1.742568559",0.153238546603476,-0.107491379396524,0.023169832630199,0.141589795549617,8.10958904109589
"68","AXA FIO Subfundusz Stabilnego Wzrostu","3.25","3.47","3.44","mieszane",500,100,4.53903038348355,"4",0,"0",3.25,3.5,0,0,3.75,"3.54","mieszane",100,100,4.7202829930886,"AXA","zagraniczne","9.00963E-05","0.003839607","-0.006240808","1.566442857","-0.000312693","-0.070099326","0.000240915","0.003243716","-0.006403249","1.461395912","5.24324E-05","0.019494105",2010-07-05,"0.059987746","0.022524067","0.963741393","0.81092902",0.198717948717949,0.138730202717949,0.00780714313471436,0.0567099522471153,8.10958904109589
"69","BG¯ BNP Paribas FIO Subfundusz Aktywnego Inwestowania","2.9","1.33","3.5","mieszane",200,100,5.39180770963538,"2",0,"10",2.9,2,0,10,2.66,"2.15","mieszane",200,100,5.7410782593999,"BG¯ BNP Paribas","zagraniczne",NA,NA,NA,NA,NA,NA,"6.98958E-05","0.000450231","-0.001282808","0.217262507","0.000133233","0.029696327",2016-03-31,"0.017334157",NA,NA,"0.112107544",0.418032786885246,0.400698629885246,NA,0.0297407014821411,2.36712328767123
"70","BG¯ BNP Paribas FIO Subfundusz Dynamicznego Inwestowania","3.8","2.03","4.4","akcji",200,100,4.47163879336357,"3",0,"20",3.8,2.5,0,20,3.99,"3.98","akcji ",200,100,4.85437127162159,"BG¯ BNP Paribas","polskie",NA,NA,NA,NA,NA,NA,"0.000645993","0.006616788","-0.01312885","2.925588026","0.000557054","0.072797524",2016-03-31,"0.1602063",NA,NA,"1.647580146",0.466285714285714,0.306079414285714,NA,0.0887400229694198,2.36712328767123
"71","BG¯ BNP Paribas FIO Subfundusz Globalny Dynamicznego Wzrostu","3.6","1.7","4.2","akcji",200,100,3.26956893918372,"3",0,"20",3.6,2.5,0,20,3.48,"3.48","akcji ",200,100,3.75653810258775,"BG¯ BNP Paribas","zagraniczne",NA,NA,NA,NA,NA,NA,"0.000491521","0.003772745","-0.008934669","1.880985126","0.000262878","0.091264089",2016-03-31,"0.121897327",NA,NA,"0.939413521",0.627376425855513,0.505479098855513,NA,0.114856050704001,2.36712328767123
"72","BG¯ BNP Paribas FIO Subfundusz Globalny Stabilnego Wzrostu","3","1.26","3.5","mieszane",200,100,4.68120487226409,"2",0,"20",3,2,0,20,2.98,"2.98","mieszane",200,100,5.30380229677861,"BG¯ BNP Paribas","zagraniczne",NA,NA,NA,NA,NA,NA,"0.000180362","0.001341133","-0.003099722","0.673537589","0.000100927","0.020932252",2016-03-31,"0.044729745",NA,NA,"0.333942095",0.863762743280815,0.819032998280815,NA,0.0920211781027486,2.36712328767123
"73","BG¯ BNP Paribas FIO Subfundusz Obligacji","1.5","","1.8","d³u¿ne",200,100,4.98907111618042,"2",0,"20",1.5,1.5,0,20,1.68,"1.68","d³u¿ne ",200,100,5.63407506223138,"BG¯ BNP Paribas","polskie",NA,NA,NA,NA,NA,NA,"0.000171916","0.000867498","-0.002203385","0.507238904","2.9762E-06","-0.003688758",2016-03-31,"0.042635057",NA,NA,"0.216007005",0.905994550408719,0.863359493408719,NA,0.132565409163467,2.36712328767123
"74","BG¯ BNP Paribas FIO Subfundusz Pieniê¿ny","1","0.96","1.2","pieniê¿ne",200,100,6.1884694408125,"0",0,"0",1,0.5,0,0,1.13,"1.13","gotówkowe i pieniê¿ne ",200,100,6.60313048580004,"BG¯ BNP Paribas","polskie",NA,NA,NA,NA,NA,NA,"0.000132282","0.000212052","-0.000429648","0.124123806","3.05674E-05","0.00984275",2016-03-31,"0.032805832",NA,NA,"0.05280088",0.513857524122357,0.481051692122357,NA,0.356165124520652,2.36712328767123
"75","BG¯ BNP Paribas FIO Subfundusz Stabilnego Inwestowania","3","1.21","3.4","mieszane",200,100,2.31253542384721,"2",0,"20",3,2,0,20,2.97,"2.94","mieszane",200,100,2.50959926237837,"BG¯ BNP Paribas","zagraniczne",NA,NA,NA,NA,NA,NA,"0.000310531","0.002206958","-0.005016131","1.062169675","0.000183104","0.02073609",2016-03-31,"0.077011662",NA,NA,"0.549532424",0.217821782178218,0.140810120178218,NA,0.11466413854408,2.36712328767123
"76","BG¯ SFIO Konserwatywny","0.4","0.67","2.26","d³u¿ne",100,100,3.73050112880476,"0",0,"0",0.4,1,0,0,0.92,"0.92","d³u¿ne ",100,100,3.00568260440716,"BG¯","polskie","6.47649E-05","0.000734077","-0.001534433","0.372867196","4.35143E-05","0.012063268","0.000121611","0.000446821","-0.001356697","0.266460524","7.94389E-05","0.016244327",2014-05-15,"0.030159608","0.015673104","0.178380813","0.111258391",-0.515587529976019,-0.545747137976019,0.00377341031627656,0.145243948386778,4.24657534246575
"77","BNP Paribas FIO Subfundusz BNP Paribas Akcji","2","2.85","2.9","akcji",200,100,3.59731226058845,"3",0,"20",2,2.5,0,20,2.66,"2.66","akcji ",200,100,3.31054301339402,"BNP Paribas","polskie","0.000470653","0.008780711","-0.01540489","3.866627489","-0.0004272","-0.081219613","0.000668051","0.006428148","-0.01658789","3.01143875","0.00011324","0.067722823",2005-01-18,"0.165676678","0.117663267","2.203958488","1.60060886",-0.249315068493151,-0.414991746493151,0.0465813070250532,0.0947618633074416,13.572602739726
"78","BNP Paribas FIO Subfundusz BNP Paribas Papierów D³u¿nych","1","1.7","2.02","d³u¿ne",200,100,2.70805020110221,"2",0,"10",1,1.5,0,10,1.74,"1.74","d³u¿ne ",200,100,1.84054963339749,"BNP Paribas","polskie","-3.57244E-06","0.001526598","-0.002807791","0.704755611","-1.55572E-05","0.008939989","0.000130895","0.000824886","-0.002225583","0.544950175","4.17407E-05","0.011392077",2010-12-21,"0.032462076","-0.000893111","0.383176157","0.205396505",-0.58,-0.612462076,-0.0414772963026507,0.0898850542758749,7.64657534246575
"79","BNP Paribas FIO Subfundusz BNP Paribas Stabilnego Wzrostu","2","2.86","2.92","mieszane",200,100,3.15700042115011,"2",0,"20",2,2,0,20,2.99,"2.98","mieszane",200,100,2.75366071235426,"BNP Paribas","zagraniczne","0.000123973","0.003354553","-0.006103354","1.531941915","-0.000132548","-0.041350968","0.000271928","0.002142835","-0.006357865","1.080708004","3.92753E-05","0.016087006",2005-01-18,"0.067438163","0.030993314","0.841992798","0.533565869",-0.331914893617021,-0.399353056617021,0.0189945971485614,0.100152888527433,13.572602739726
"80","BPS Akcji","4","4.13","4.16","akcji",100,50,3.14845336057165,"4",0,"0",4,4,0,0,4.17,"4.17","akcji ",100,50,2.87919845729804,"BPS","polskie","0.000382576","0.009092256","-0.015209188","3.817506158","-0.000503272","-0.118317359","0.000399952","0.00677662","-0.016957175","3.141209007","0.000288125","0.074163107",2011-05-10,"0.099588055","0.09564394","2.282156199","1.694155086",-0.236051502145923,-0.335639557145923,0.035336731129682,0.0505196104579059,7.26301369863014
"81","BPS Obligacji","1.2","1.25","1.26","d³u¿ne",100,50,3.03013370027132,"2",0,"0",1.2,2,0,0,1.33,"1.33","d³u¿ne ",100,50,2.94443897916644,"BPS","polskie","1.49225E-05","0.001934697","-0.00288599","0.724383517","-2.97447E-05","0.009140354","0.000168804","0.000907411","-0.002647927","0.699750508","4.42569E-05","0.018945462",2011-05-10,"0.042032089","0.003730637","0.485608972","0.226852703",-0.0821256038647343,-0.124157692864734,-0.0232066614288173,0.123569561346598,7.26301369863014
"82","BPS Obligacji Korporacyjnych","0.95","1.24","1.03","d³u¿ne",160000,10000,3.62434093297637,"2",0,"20",0.95,0,0,20,1.42,"1.09","d³u¿ne ",100,50,2.74727091425549,"BPS","polskie","9.37582E-05","0.000735186","-0.000852182","0.21389771","8.72735E-05","0.024325181","0.000156958","0.000786683","-0.000958997","0.370784554","9.6483E-05","0.025267089",2013-09-26,"0.039082616","0.023439554","0.184531692","0.196670844",-0.584,-0.623082616,0.0457349841023514,0.127536016472274,4.87945205479452
"83","BPS Pieniê¿ny","0.9","1.03","0.94","pieniê¿ne",100,50,4.40671924726425,"0",0,"0",0.9,0,0,0,0.95,"0.95","gotówkowe i pieniê¿ne ",100,50,4.40671924726425,"BPS","polskie","4.61359E-05","0.000685059","-0.000947094","0.237720471","5.88325E-05","0.017980372","0.000139313","0.000592324","-0.001140782","0.294042737","6.30695E-05","0.016002527",2011-05-10,"0.034689046","0.011533975","0.171949892","0.148081066",0,-0.034689046,-0.0201571804418464,0.13971432377452,7.26301369863014
"84","BPS P³ynnoœciowy","0.65","0.98","0.71","pieniê¿ne",100,50,NA,"0",0,"20",0.65,0,0,20,1.67,"0.8","gotówkowe i pieniê¿ne ",100,50,3.2846635654062,"BPS","polskie","4.70077E-05","0.000686858","-0.000835931","0.209818696","8.29492E-05","0.02338009","0.000175333","0.00102738","-0.000907428","0.404074289","5.39417E-05","0.011647758",2013-09-26,"0.043657991","0.01175192","0.17240134","0.256845003",NA,NA,-0.0188402247917563,0.115470383513749,4.87945205479452
"85","BPS Stabilnego Wzrostu","2","2.87","2.23","mieszane",100,50,2.61006979274201,"3",0,"0",2,3,0,0,2.2,"2.21","mieszane",100,50,2.70136121295141,"BPS","zagraniczne","0.000204691","0.003758857","-0.005771084","1.448542053","-0.000279278","-0.062654141","0.000198096","0.00236551","-0.006008369","1.258901813","0.000166154","0.043215587",2011-05-10,"0.049326007","0.051172693","0.943473053","0.591377548",0.0955882352941177,0.0462622282941177,0.0383399323223702,0.059735116964569,7.26301369863014
"86","Caspar Akcji Europejskich","3.5","","4.32","akcji",1000,100,3.7796338173824,"4",0,"0",3.5,3.5,0,0,4.4,"4.29","akcji ",1000,100,4.1174098351531,"Caspar Parasolowy","zagraniczne","0.000713727","0.008668563","-0.015045062","3.776310616","3.23449E-05","0.005006286","0.000923403","0.007763823","-0.01697871","3.041113961","0.000888751","0.141809148",2012-11-02,"0.229927269","0.178431696","2.175809401","1.940955722",0.401826484018265,0.171899215018265,0.0751130572029365,0.111247910785674,5.77808219178082
"87","Caspar Akcji Polskich","3.5","4.29","4.23","akcji",1000,100,3.25809653802148,"4",0,"0",3.5,3.5,0,0,4.5,"4.42","akcji ",1000,100,1.30833281965018,"Caspar","polskie","0.000517028","0.00740895","-0.014086216","3.535640291","-0.000357839","-0.047649153","-0.000196923","0.005319558","-0.01446406","2.483511323","0.00045405","0.1250586",2012-11-02,"-0.049033812","0.129257015","1.859646384","1.329889394",-0.857692307692308,-0.808658495692308,0.0614401834580181,-0.0473977853228898,5.77808219178082
"88","Caspar Globalny","1.95","3.05","2.87","mieszane",1000,100,2.3887627892351,"4",0,"15",1.95,3.5,0,15,3.53,"3.2","mieszane",1000,100,2.23001440015921,"Caspar","zagraniczne","0.000296285","0.007530093","-0.011520288","2.891592348","-0.003045304","-0.576548479","0.000154447","0.004489455","-0.016273718","2.165372996","-0.000596122","-0.017537567",2015-12-15,"0.038457325","0.07407136","1.890053411","1.122363755",-0.146788990825688,-0.185246315825688,0.0312538046047843,0.0217909077079917,2.66027397260274
"89","Caspar Ochrony Kapita³u","0.05","0.48","0.17","d³u¿ne",1000,100,2.28238238567653,"0",0,"0",0.75,0,0,0,0.69,"0.69","d³u¿ne ",1000,100,2.68102152871429,"Caspar","polskie","3.93339E-05","0.00077673","-0.001295851","0.325258588","6.13911E-05","0.017393359","0.000109789","0.000675289","-0.001251536","0.292454131","4.94139E-05","0.012720914",2012-11-02,"0.027337407","0.009833484","0.194959205","0.168822259",0.489795918367347,0.462458511367347,-0.0265004978862116,0.0790026568712127,5.77808219178082
"90","Credit Agricole fio Subfundusz Credit Agricole Akcji Nowej Europy","3.95","4.87","4.41","akcji",1000,500,2.01490302054226,"3",1,"0",3.95,NA,NA,0,4.91,"4.72","akcji ",1000,500,1.77495235091167,"Credit Agricole","zagraniczne","0.000346368","0.009758097","-0.017560522","4.407691027","-0.000617914","-0.115546812","0.000701237","0.005588266","-0.017539161","3.022637979","0.000305423","0.049071483",2008-05-13,"0.174608042","0.086591934","2.449282275","1.397066576",-0.213333333333333,-0.387941375333333,0.0292297603794973,0.114960907918822,10.2547945205479
"91","Credit Agricole fio Subfundusz Credit Agricole Akcyjny","2.95","3.1","2.98","akcji",1000,500,4.21064501791826,"3",1,"0",2.95,NA,NA,0,3.05,"2.98","akcji ",1000,500,3.98898404656427,"Credit Agricole","polskie","0.00054565","0.007547871","-0.013697897","3.438172191","-0.000119413","-0.006961345","0.000964187","0.005394201","-0.014110758","2.577949969","0.000194686","0.104995084",2006-11-03,"0.240082532","0.13641255","1.894515741","1.348550166",-0.198813056379822,-0.438895588379822,0.0640863242106997,0.167648588610236,11.7808219178082
