"","Nazwa","Nazwa_IZFiA","OB","TFI","Data_utworzenia","PW","NW","Aktywa","Profil","OZZ","OZN","OZU","OZW","TER","mean_daily_log_rr","std_daily_log_rr","var_5","var_95","es","eg","yearly_rr","yearly_std","Lokalizacja","Rok","sr","Wiek","Name_time"
"143","GAMMA Akcji Ma³ych i Œrednich Spó³ek","KBC Subfundusz Akcji Ma³ych i Œrednich Spó³ek",4.41,"GAMMA","2007-09-27",500,100,"47.6","akcji",4,"4",0,"","4.47","0.000400778","0.006850702","-0.012837874","3.209468467","0.00021323","0.114242005","0.099793719","1.712675579","polskie","2017",0.0495095043332781,10.8841324200913,"GAMMA Akcji Ma³ych i Œrednich Spó³ek2017"
"144","GAMMA Akcyjny","KBC Subfundusz AKCYJNY",4.38,"GAMMA","2006-10-25",500,100,"74","akcji",4,"4",0,"","4.44","0.00041126","0.008142624","-0.014696943","3.674235718","-0.000322389","-0.041029142","0.102403792","2.035656093","polskie","2017",0.0429364234462564,11.8074200913242,"GAMMA Akcyjny2017"
"145","GAMMA Aktywny","KBC Subfundusz Aktywny",4.31,"GAMMA","2002-07-26",500,100,"44.7","mieszane",3.8,"3",0,"","4.38","0.000179342","0.004478087","-0.008193012","2.048253075","-0.000185926","-0.03806779","0.044656139","1.119521831","zagraniczne","2017",0.02649000508861,16.0594748858448,"GAMMA Aktywny2017"
"146","GAMMA Globalny Akcyjny","KBC Subfundusz Globalny Akcyjny",4.57,"GAMMA","2011-03-31",500,100,"9.4","akcji",3,"4",0,"","4.04","0.000195013","0.008404452","-0.016047311","4.011827813","-9.58692E-05","-0.04333143","0.048558352","2.101113046","zagraniczne","2017",0.0159717022669898,7.37454337899543,"GAMMA Globalny Akcyjny2017"
"147","GAMMA Globalny Obligacyjny","KBC Subfundusz Globalny Obligacyjny",5.01,"GAMMA","2012-04-04",500,100,"6.4","d³u¿ne",1,"#ARG!",0,"","","8.15435E-05","0.004066128","-0.008098156","2.024538938","-7.68064E-05","0.067673649","0.020304338","1.016532001","zagraniczne","2017",0.00521807281500428,6.36084474885845,"GAMMA Globalny Obligacyjny2017"
"148","GAMMA Obligacji Korporacyjnych","KBC Subfundusz Obligacji Korporacyjnych",1.73,"GAMMA","2011-05-11",500,100,"119.1","d³u¿ne",1.3,"1",0,"","1.82","0.000117357","0.00070314","-0.000940335","0.235083729","6.83975E-05","0.02006261","0.029221992","0.175785045","polskie","2017",0.0809055855690113,7.26221461187215,"GAMMA Obligacji Korporacyjnych2017"
"149","GAMMA Papierów D³u¿nych","KBC Subfundusz Papierów D³u¿nych",1.65,"GAMMA","2001-12-20",500,100,"120.5","d³u¿ne",1.4,"1",0,"","1.71","2.08132E-05","0.001025094","-0.001551229","0.387807204","8.12907E-05","0.023341807","0.005182497","0.2562735","polskie","2017",-0.0383086936417538,16.6566210045662,"GAMMA Papierów D³u¿nych2017"
"150","GAMMA Pieniê¿ny","KBC Subfundusz Pieniê¿ny",1.19,"GAMMA","2002-07-26",500,100,"289.7","pieniê¿ne",0.9,"0",0,"","1.17","9.18835E-05","0.000520354","-0.000907019","0.226754785","6.79474E-05","0.020506241","0.022878982","0.130088557","polskie","2017",0.0605662956196831,16.0594748858448,"GAMMA Pieniê¿ny2017"
"151","GAMMA Stabilny","KBC Subfundusz Stabilny",2.9,"GAMMA","2001-12-20",500,100,"76.8","mieszane",2.5,"3",0,"","2.94","0.000158942","0.002790956","-0.005385865","1.346466311","-2.38409E-05","0.025681171","0.039576579","0.697739064","zagraniczne","2017",0.035223166177779,16.6566210045662,"GAMMA Stabilny2017"
"152","MetLife Ochrony Wzrostu","Metlife Subfudnusz Ochrony Wzrostu",3.07,"MetLife ","2007-01-10",500,250,"8","mieszane",2.6,"2",0,"","2.85","-0.000101393","0.001276839","-0.003737502","0.93811308","-0.000157814","-0.014189598","-0.02534837","0.320486479","zagraniczne","2017",-0.125897261331889,11.5963470319635,"MetLife Ochrony Wzrostu2017"
"153","MetLife Akcji","Metlife Subfundusz Akcji",4.3,"MetLife ","2004-06-18",500,NA,"136.7","akcji",4,"5",0,"","4.28","0.000494665","0.009589975","-0.017439945","4.377426317","-0.000760279","-0.248983886","0.123666137","2.407083769","polskie","2017",0.0451443104720632,14.1608447488584,"MetLife Akcji2017"
"154","MetLife Akcji Amerykañskich","Metlife Subfundusz Akcji Amerykañskich",3.71,"MetLife ","2007-01-10",500,250,"26.9","akcji",2.5,"4",0,"","2.8","0.000308553","0.007952726","-0.016493926","4.123481589","0.000291228","0.104032436","0.076829579","1.988181404","zagraniczne","2017",0.0310985601593525,11.5963470319635,"MetLife Akcji Amerykañskich2017"
"155","MetLife Akcji Chiñskich i Azjatyckich","Metlife Subfundusz Akcji Chiñskich i Azjatyckich",4.27,"MetLife ","2007-01-10",500,250,"42.5","akcji",3,"4",0,"","3.3","2.65278E-05","0.007521146","-0.01636121","4.106663786","2.46543E-05","0.080394746","0.006631952","1.887807589","zagraniczne","2017",-0.00443268055958641,11.5963470319635,"MetLife Akcji Chiñskich i Azjatyckich2017"
"156","MetLife Akcji Ma³ych Spó³ek","Metlife Subfundusz Akcji Ma³ych Spó³ek",3.62,"MetLife ","2007-01-10",500,250,"22.5","akcji",3,"4",0,"","3.64","0.000739333","0.006811523","-0.012654482","3.176274924","-2.7901E-05","0.057223207","0.18483326","1.709692279","polskie","2017",0.0993355717201551,11.5963470319635,"MetLife Akcji Ma³ych Spó³ek2017"
"157","MetLife Akcji Nowa Europa","Metlife Subfundusz Akcji Nowa Europa",4.11,"MetLife ","2007-01-10",500,250,"47.8","akcji",3.5,"4",0,"","4.09","0.000715177","0.00954458","-0.018402714","4.619081125","-0.000602504","-0.150440336","0.178794216","2.395689645","zagraniczne","2017",0.0683703819239908,11.5963470319635,"MetLife Akcji Nowa Europa2017"
"158","MetLife Akcji Polskich","Metlife Subfundusz Akcji Polskich",4.46,"MetLife ","2007-01-10",500,250,"18.6","akcji",4,"4",0,"","4.44","0.000500653","0.00898008","-0.016119502","4.045994985","-0.000600769","-0.177355068","0.125163143","2.254000018","polskie","2017",0.0488745084828123,11.5963470319635,"MetLife Akcji Polskich2017"
"159","MetLife Akcji Rynków Rozwiniêtych","Metlife Subfundusz Akcji Rynków Rozwiniêtych",4.36,"MetLife ","2007-01-10",500,250,"12.8","akcji",3,"4",0,"","3.52","0.000506293","0.006903058","-0.014408025","3.616414268","-2.96148E-06","9.1597E-05","0.126573208","1.732667623","zagraniczne","2017",0.0643938898141458,11.5963470319635,"MetLife Akcji Rynków Rozwiniêtych2017"
"160","MetLife Akcji Rynków Wschodz¹cych","Metlife Subfundusz Akcji Rynków Wschodz¹cych",4.24,"MetLife ","2007-01-10",500,250,"27.6","akcji",3,"4",0,"","3.41","0.000366269","0.008988377","-0.017581543","4.41296726","-0.000348292","-0.125272029","0.091567194","2.256082508","zagraniczne","2017",0.0339381178341196,11.5963470319635,"MetLife Akcji Rynków Wschodz¹cych2017"
"161","MetLife Akcji Œrednich Spó³ek","Metlife Subfundusz Akcji Œrednich Spó³ek",4.34,"MetLife ","2006-11-14",500,250,"120.1","akcji",4,"5",0,"","4.37","0.000895678","0.00752827","-0.013607158","3.415396603","-0.000263737","-0.107867565","0.223919447","1.889595824","polskie","2017",0.110563033822623,11.7525114155251,"MetLife Akcji Œrednich Spó³ek2017"
"162","MetLife Aktywnej Alokacji","Metlife Subfundusz Aktywnej Alokacji",3.82,"MetLife ","2004-06-18",500,250,"10.4","mieszane",3,"4",0,"","3.88","0.000399253","0.005462746","-0.009869901","2.477345082","-0.000368328","-0.088320582","0.099813243","1.371149146","zagraniczne","2017",0.0618555926227445,14.1608447488584,"MetLife Aktywnej Alokacji2017"
"163","MetLife Lokacyjny","Metlife Subfundusz Lokacyjny",1.09,"MetLife ","2007-01-10",500,250,"39","pieniê¿ne",0.8,"0",0,"","1.14","5.54409E-05","0.000399052","-0.000649412","0.163002508","6.987E-05","0.018477235","0.013860236","0.100161994","polskie","2017",-0.0113792063684355,11.5963470319635,"MetLife Lokacyjny2017"
"164","MetLife Obligacji Plus","Metlife Subfundusz Obligacji Plus",1.74,"MetLife ","2007-01-10",500,250,"42.5","d³u¿ne",1.45,"1",0,"","1.75","1.49813E-05","0.001389125","-0.0020515","0.514926547","1.0621E-05","0.005639577","0.003745323","0.34867034","polskie","2017",-0.0322788482668184,11.5963470319635,"MetLife Obligacji Plus2017"
"165","MetLife Obligacji Skarbowych","Metlife Subfundusz Obligacji Skarbowych",1.7,"MetLife ","2004-06-18",500,250,"98.5","d³u¿ne",1.45,"1",0,"","1.69","1.55794E-05","0.00138969","-0.001972352","0.495060265","2.19847E-06","0.013675722","0.003894844","0.348812131","polskie","2017",-0.0318370693363299,14.1608447488584,"MetLife Obligacji Skarbowych2017"
"166","MetLife Obligacji Œwiatowych","Metlife Subfundusz Obligacji Œwiatowych",1.93,"MetLife ","2007-01-10",500,250,"62.7","d³u¿ne",1,"1",0,"","1.33","0.000318824","0.002711422","-0.006406558","1.601639543","0.000139957","0.039272769","0.079387271","0.677855544","zagraniczne","2017",0.0949867144554917,11.5963470319635,"MetLife Obligacji Œwiatowych2017"
"167","MetLife Pieniê¿ny","Metlife Subfundusz Pieniê¿ny",1.21,"MetLife ","2005-04-29",500,250,"455.4","pieniê¿ne",1,"0",0,"","1.2","4.6813E-05","0.000430082","-0.000647776","0.162591715","7.16185E-05","0.01897395","0.011703244","0.107950506","polskie","2017",-0.0305395140991743,13.2978310502283,"MetLife Pieniê¿ny2017"
"168","MetLife Stabilnego Wzrostu","Metlife Subfundusz Stabilnego Wzrostu",2.52,"MetLife ","2004-06-18",500,250,"39","mieszane",2.2,"0",0,"","2.48","0.000138831","0.003693787","-0.006452447","1.619564211","-0.000267247","-0.084310866","0.034707854","0.927140527","zagraniczne","2017",0.02125659856955,14.1608447488584,"MetLife Stabilnego Wzrostu2017"
"169","MetLife Zrównowa¿ony Azjatycki","Metlife Subfundusz Zrównowa¿ony Azjatycki",4.06,"MetLife ","2007-01-10",500,250,"8.1","mieszane",2.5,"3",0,"","3.21","0.00016857","0.006726356","-0.013773268","3.443316915","-8.03283E-05","0.027740562","0.041973826","1.681589093","zagraniczne","2017",0.0160406761153987,11.5963470319635,"MetLife Zrównowa¿ony Azjatycki2017"
"170","Millennium Absolute Return","Millennium FIO S Absolute Return",3.63,"Millennium","2005-02-28",500,500,"128.4","absolutnej stopy zwrotu",3.5,"2",0,"","3.62","-6.12193E-06","0.00273663","-0.004917268","1.234234297","0.000230954","0.081763467","-0.001530482","0.686894063","zagraniczne","2017",-0.0240655479358831,13.462100456621,"Millennium Absolute Return2017"
"171","Millennium Akcji","Millennium FIO S Akcji",4.18,"Millennium","2002-01-03",500,500,"281.9","akcji",4,"2",0,"","4.19","0.000306788","0.008503324","-0.015205959","3.816695731","-0.000451925","-0.05647815","0.076696938","2.13433441","polskie","2017",0.0289068750009049,16.6182648401826,"Millennium Akcji2017"
"172","Millennium Cyklu Koniunkturalnego","Millennium FIO S Cyklu Koniunkturalnego",4.19,"Millennium","2002-01-03",500,500,"214","mieszane",4,"2",0,"","4.19","0.000171557","0.005191671","-0.01105762","2.775462521","-0.000239179","-0.032496604","0.042889242","1.303109368","zagraniczne","2017",0.0214020731374253,16.6182648401826,"Millennium Cyklu Koniunkturalnego2017"
"173","Millennium Depozytowy","Millennium FIO S Depozytowy",1.05,"Millennium","2002-01-03",500,500,"1422.2","pieniê¿ne",1,"1",0,"","1.19","8.04501E-05","0.000271704","-0.000489351","0.122827013","4.58359E-05","0.012751422","0.020112536","0.068197587","polskie","2017",0.0749665233756731,16.6182648401826,"Millennium Depozytowy2017"
"174","Millennium Dynamicznych Spó³ek","Millennium FIO S Dynamicznych Spó³ek",4.26,"Millennium","2007-04-10",500,500,"115.5","akcji",4,"2",0,"","4.26","0.000579209","0.006653866","-0.012632151","3.170669875","0.000215842","0.153258821","0.144802248","1.670120266","polskie","2017",0.0777202999343761,11.3498858447489,"Millennium Dynamicznych Spó³ek2017"
"175","Millennium Instrumentów D³u¿nych","Millennium FIO S Instrumentów D³u¿nych",1.9,"Millennium","2014-09-15",500,500,"94.3","d³u¿ne",1.9,"1",0,"","1.9","0.000128614","0.001607043","-0.002910119","0.730439915","-5.49719E-05","0.000489378","0.032153385","0.403367864","zagraniczne","2017",0.0425254129813376,3.9115296803653,"Millennium Instrumentów D³u¿nych2017"
"176","Millennium Obligacji Korporacyjnych","Millennium FIO S Obligacji Korporacyjnych",1.72,"Millennium","2005-02-28",500,500,"1834.4","d³u¿ne",1.7,"1",0,"","1.71","0.000153439","0.001022414","-0.0016785","0.421303537","3.75985E-05","0.006690363","0.038359636","0.256625994","polskie","2017",0.0910259932592799,13.462100456621,"Millennium Obligacji Korporacyjnych2017"
"177","Millennium Stabilnego Wzrostu","Millennium FIO S Stabilnego Wzrostu",3.18,"Millennium","2004-02-05",500,500,"147.5","mieszane",3,"2",0,"","3.16","0.000135724","0.003119857","-0.005812518","1.458941963","-0.000151789","-0.02356911","0.033930924","0.783084091","zagraniczne","2017",0.0241748290095195,14.5278538812785,"Millennium Stabilnego Wzrostu2017"
"178","Millennium Globalny Akcji","Millennium SFIO S Globalny Akcji",3.78,"Millennium","2005-08-22",500,500,"41.6","akcji",3.5,"2",0,"","3.75","2.58065E-05","0.007353654","-0.013337298","3.347661756","0.000164552","-0.018793894","0.006451635","1.845767227","zagraniczne","2017",-0.00463133426303922,12.9827625570776,"Millennium Globalny Akcji2017"
"179","Millennium Globalny Stabilnego Wzrostu","Millennium SFIO S Globalny Stabilnego Wzrostu",3.64,"Millennium","2005-08-22",500,500,"131","mieszane",3.5,"2",0,"","3.61","6.4851E-05","0.003633264","-0.006858456","1.721472434","0.000103434","-0.005493792","0.016212748","0.911949211","zagraniczne","2017",0.0013298416023302,12.9827625570776,"Millennium Globalny Stabilnego Wzrostu2017"
"180","Millennium Globalny Strategii Alternatywnych","Millennium SFIO S Globalny Strategii Alternatywnych",3.12,"Millennium","2005-08-22",500,500,"17.6","mieszane",2.5,"2",0,"","3.06","1.71386E-05","0.004392741","-0.008029375","2.015373203","-0.000252766","-0.073064347","0.004284656","1.102578046","zagraniczne","2017",-0.00971844491088298,12.9827625570776,"Millennium Globalny Strategii Alternatywnych2017"
"181","Millennium Konserwatywny","Millennium SFIO S Konserwatywny",2.5,"Millennium","2016-12-07",500,500,"12.9","mieszane",2.5,"1",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,"zagraniczne","2017",NA,1.68127853881279,"Millennium Konserwatywny2017"
"182","NN (L) Ameryki £aciñskiej","NN (L) Ameryki £aciñskiej",2.98,"NN","2009-11-23",200,50,"25.7","akcji",2.5,"5",0,"","2.5","0.000962129","0.016102656","-0.025404492","6.376527469","-0.001661293","-0.463324941","0.240532329","4.041766773","zagraniczne","2017",0.0558004312635285,8.72511415525114,"NN (L) Ameryki £aciñskiej2017"
"183","NN (L) Depozytowy","NN (L) Depozytowy",0.75,"NN","2011-08-02",200,50,"167.5","pieniê¿ne",0.75,"0",0,"","0.75","3.5562E-05","0.000254477","-0.00059563","0.149503069","4.40055E-05","0.011661666","0.008890512","0.063873714","polskie","2017",-0.0956494873618904,7.03481735159817,"NN (L) Depozytowy2017"
"184","NN (L) Dynamiczny Globalnej Alokacji","NN (L) Dynamiczny Globalnej Alokacji",2.89,"NN","2010-10-15",200,50,"48.3","absolutnej stopy zwrotu",2.5,"5",0,"","2.47","5.60022E-05","0.007622554","-0.018333087","4.601604775","0.000323321","0.09484727","0.014000548","1.913260957","zagraniczne","2017",-0.00052238143278016,7.83207762557078,"NN (L) Dynamiczny Globalnej Alokacji2017"
"185","NN (L) Europejski Spó³ek Dywidendowych","NN (L) Europejski Spó³ek Dywidendowych",2.93,"NN","2009-11-23",200,50,"204.6","akcji",2.5,"5",0,"","2.48","9.64902E-05","0.013737392","-0.023964055","6.014977856","-0.000155957","-0.039854288","0.024122555","3.448085452","zagraniczne","2017",0.00264568704198112,8.72511415525114,"NN (L) Europejski Spó³ek Dywidendowych2017"
"186","NN (L) Globalny D³ugu Korporacyjnego","NN (L) Globalny D³ugu Korporacyjnego",2.18,"NN","2009-11-23",200,50,"598.5","d³u¿ne",1.8,"2",0,"","1.78","0.00060545","0.003543941","-0.005859598","1.470759149","-0.000286432","-0.127753189","0.151362474","0.889529154","zagraniczne","2017",0.153297363427394,8.72511415525114,"NN (L) Globalny D³ugu Korporacyjnego2017"
"187","NN (L) Globalny Spó³ek Dywidendowych","NN (L) Globalny Spó³ek Dywidendowych",2.93,"NN","2009-11-23",200,50,"679.8","akcji",2.5,"5",0,"","2.49","0.000489841","0.010662952","-0.020685863","5.19215155","1.25473E-05","0.014275652","0.122460169","2.676400985","zagraniczne","2017",0.0401509974037018,8.72511415525114,"NN (L) Globalny Spó³ek Dywidendowych2017"
"188","NN (L) Japonia","NN (L) Japonia",3.2,"NN","2009-11-23",200,50,"203.2","akcji",2.5,"5",0,"","2.5","-0.000161554","0.016728396","-0.027211344","6.830047405","-0.000108865","-0.010368383","-0.040388412","4.198827341","zagraniczne","2017",-0.0131914002414799,8.72511415525114,"NN (L) Japonia2017"
"189","NN Lokacyjny Plus","NN (L) Lokacyjny Plus",1.01,"NN","2008-08-07",200,50,"810","pieniê¿ne",1,"0",0,"","1","9.65961E-05","0.000737119","-0.001137233","0.285445465","2.36732E-05","0.009390812","0.024149017","0.18501675","polskie","2017",0.0494496687462081,10.0211187214612,"NN Lokacyjny Plus2017"
"190","NN (L) Nowej Azji","NN (L) Nowej Azji",2.98,"NN","2009-11-23",200,50,"31.5","akcji",2.5,"5",0,"","2.38","0.000765476","0.01211546","-0.023564034","5.891008531","-0.000154032","-0.046309515","0.19060347","3.028865096","zagraniczne","2017",0.0579766560854449,8.72511415525114,"NN (L) Nowej Azji2017"
"191","NN (L) Obligacji Rynków Wschodz¹cych (Waluta Lokalna)","NN (L) Obligacji Rynków Wschodzacych (Waluta Lokalna)",2.17,"NN","2012-01-23",200,50,"139.9","d³u¿ne",1.8,"2",0,"","1.79","0.000292441","0.00766518","-0.011742531","2.947375269","-0.000785221","-0.200577046","0.07311017","1.923960064","zagraniczne","2017",0.0302034179852914,6.55799086757991,"NN (L) Obligacji Rynków Wschodz¹cych (Waluta Lokalna)2017"
"192","NN (L) Obligacyjny Globalnej Alokacji","NN (L) Obligacyjny Globalnej Alokacji",1.68,"NN","2012-11-20",200,50,"11.4","d³u¿ne",1.4,"2",0,"","1.52","0.000144484","0.003274836","-0.005073793","1.273522098","-3.68554E-05","-0.005591798","0.036121099","0.821983718","zagraniczne","2017",0.02569527660644,5.73059360730594,"NN (L) Obligacyjny Globalnej Alokacji2017"
"193","NN (L) Spó³ek Dywidendowych Rynków Wschodz¹cych","NN (L) Spó³ek Dywidendowych Rynków Wschodz¹cych",2.97,"NN","2009-11-23",200,50,"113.5","akcji",2.5,"5",0,"","2.41","0.000714035","0.01150289","-0.022117568","5.551509458","-0.000703214","-0.140701093","0.178508865","2.887225458","zagraniczne","2017",0.0566318312783456,8.72511415525114,"NN (L) Spó³ek Dywidendowych Rynków Wschodz¹cych2017"
"194","NN (L) Spó³ek Dywidendowych USA","NN (L) Spó³ek Dywidendowych USA",2.91,"NN","2009-11-23",200,50,"71","akcji",2.5,"5",0,"","2.46","0.000640351","0.008974804","-0.017137729","4.30157","-0.000463393","-0.09795257","0.160087658","2.252675901","zagraniczne","2017",0.0644068052291025,8.72511415525114,"NN (L) Spó³ek Dywidendowych USA2017"
"195","NN (L) Stabilny Globalnej Alokacji","NN (L) Stabilny Globalnej Alokacji",1.91,"NN","2014-03-24",200,50,"408.6","absolutnej stopy zwrotu",1.5,"2",0,"","1.5","0.000193992","0.002677154","-0.005321855","1.335785573","0.000228884","0.023954866","0.048498032","0.671965769","zagraniczne","2017",0.0498508012541335,4.39098173515982,"NN (L) Stabilny Globalnej Alokacji2017"
"196","NN (L) Stabilny Globalnej Alokacji EUR (EUR)","NN (L) Stabilny Globalnej Alokacji EUR",2.09,"NN","2014-11-21",200,50,"35.1","absolutnej stopy zwrotu",NA,"2",0,"","1.51","0.000114543","0.00260317","-0.005154863","1.293870655","0.000154659","0.009386424","0.028635783","0.653395718","zagraniczne","2017",0.0208691037060026,3.72785388127854,"NN (L) Stabilny Globalnej Alokacji EUR (EUR)2017"
"197","NN Akcji","NN (PL) Akcji",3.5,"NN","1998-03-09",200,50,"1051.1","akcji",3.5,"4",0,"","3.23","0.000463695","0.008638735","-0.015075765","3.784016891","-0.000465599","-0.086738462","0.11592366","2.168322393","polskie","2017",0.0465445822659085,20.4429223744292,"NN Akcji2017"
"198","NN Akcji Œrodkowoeuropejskich","NN (PL) Akcji Œrodkowoeuropejskich",3.51,"NN","2008-07-07",200,50,"191.2","akcji",3.5,"4",0,"","4.32","0.000235611","0.010277348","-0.018265137","4.584549307","-0.000644477","-0.149836704","0.058902686","2.579614294","zagraniczne","2017",0.0170190892887028,10.1060502283105,"NN Akcji Œrodkowoeuropejskich2017"
"199","NN Gotówkowy","NN (PL) Gotówkowy",0.75,"NN","1999-02-24",200,50,"767.3","pieniê¿ne",0.75,"0",0,"","0.75","3.66002E-05","0.000248333","-0.000592425","0.148698721","4.77064E-05","0.013273157","0.009150039","0.062331619","polskie","2017",-0.0938522228983014,19.4785388127854,"NN Gotówkowy2017"
"200","NN Obligacji","NN (PL) Obligacji",1.25,"NN","1999-02-24",200,50,"729.6","d³u¿ne",1.25,"1",0,"","1.19","0.000137371","0.008886805","-0.016981974","4.26247541","-0.000594403","-0.129358425","0.034342655","2.23058815","polskie","2017",0.00867154925036251,19.4785388127854,"NN Obligacji2017"
"201","NN Stabilnego Wzrostu","NN (PL) Stabilnego Wzrostu",2.51,"NN","2000-12-06",200,50,"1242.7","mieszane",2.5,"3",0,"","2.17","0.000180364","0.003235204","-0.005836314","1.464914796","-0.000118768","-0.033094037","0.045091075","0.812036314","zagraniczne","2017",0.0370563169173737,17.6949771689498,"NN Stabilnego Wzrostu2017"
"202","NN Œrednich i Ma³ych Spó³ek","NN (PL) Œrednich i Ma³ych Spó³ek",3.51,"NN","2001-10-24",200,50,"325.7","akcji",3.5,"4",0,"","3.54","0.000643927","0.006555204","-0.012145297","3.048469616","8.48447E-05","0.021082329","0.160981863","1.645356088","polskie","2017",0.0887235681471523,16.812899543379,"NN Œrednich i Ma³ych Spó³ek2017"
"203","NN Zrównowa¿ony","NN (PL) Zrównowa¿ony",3.01,"NN","1998-03-09",200,50,"680.9","mieszane",3,"4",0,"","2.53","0.000291127","0.004814022","-0.008649054","2.170912431","-0.000244006","-0.064543533","0.072781761","1.208319647","zagraniczne","2017",0.0478199300520022,20.4429223744292,"NN Zrównowa¿ony2017"
"204","NN SFIO Akcji 2","NN SFIO Akcji 2",0.8,"NN","2001-11-05",2000000,10000,"1827.7","akcji",0.8,"5",0,"","0.62","0.00052288","0.008769257","-0.015531245","3.898342506","-0.000387263","-0.099034321","0.130720042","2.201083586","polskie","2017",0.0525741242795311,16.7799086757991,"NN SFIO Akcji 22017"
"205","NN SFIO Obligacji 2","NN SFIO Obligacji 2",0.53,"NN","2001-11-19",2000000,10000,"2074.8","d³u¿ne",0.53,"2",0,"","0.23","7.47909E-05","0.001789964","-0.00323682","0.812441801","6.89461E-06","0.020902438","0.018697714","0.449280998","polskie","2017",0.00823029243716201,16.7415525114155,"NN SFIO Obligacji 22017"
"206","NN Perspektywa 2020","NN Subfundusz Perspektywa 2020",1.59,"NN","2012-03-19",200,50,"49.5","mieszane",1.3,"3",0,"","1.19","0.000143676","0.002016138","-0.00378497","0.950027368","-4.4327E-05","-0.004759071","0.035919032","0.506050763","zagraniczne","2017",0.0413378133766394,6.4046803652968,"NN Perspektywa 20202017"
"207","NN Perspektywa 2025","NN Subfundusz Perspektywa 2025",1.8,"NN","2012-03-19",200,50,"75","mieszane",1.5,"3",0,"","1.38","0.000196419","0.003015218","-0.005490682","1.378161255","-0.000103586","-0.017179966","0.049104831","0.756819644","zagraniczne","2017",0.0450633532974205,6.4046803652968,"NN Perspektywa 20252017"
"208","NN Perspektywa 2030","NN Subfundusz Perspektywa 2030",2.02,"NN","2012-03-19",200,50,"59.1","mieszane",1.7,"3",0,"","1.48","0.000207539","0.0034685","-0.006373135","1.599657008","-0.000144903","-0.019107503","0.051884835","0.87059342","zagraniczne","2017",0.0423674635629569,6.4046803652968,"NN Perspektywa 20302017"
"209","NN Perspektywa 2035","NN Subfundusz Perspektywa 2035",2.23,"NN","2012-03-19",200,50,"52.7","mieszane",1.9,"3",0,"","1.56","0.00022213","0.003897538","-0.007170352","1.799758227","-0.000176511","-0.033177368","0.055532549","0.97828194","zagraniczne","2017",0.041432379912891,6.4046803652968,"NN Perspektywa 20352017"
"210","NN Perspektywa 2040","NN Subfundusz Perspektywa 2040",2.44,"NN","2012-03-19",200,50,"39.1","mieszane",2.1,"3",0,"","1.69","0.000231286","0.00432019","-0.007943655","1.993857385","-0.000198518","-0.035558903","0.057821529","1.084367653","zagraniczne","2017",0.0394898620237614,6.4046803652968,"NN Perspektywa 20402017"
"211","NN Perspektywa 2045","NN Subfundusz Perspektywa 2045",2.45,"NN","2012-03-19",200,50,"46.7","mieszane",2.1,"3",0,"","1.79","0.000251158","0.004678771","-0.008599854","2.158563403","-0.000185448","-0.047116212","0.062789432","1.17437153","zagraniczne","2017",0.0406936227413483,6.4046803652968,"NN Perspektywa 20452017"
"212","Noble Fund Africa and Frontier","Noble Fund Africa and Frontier",5.38,"Noble Funds","2010-08-11",500,100,"10.3","akcji",4,"4",0,"","4.48","0.000444508","0.007753932","-0.013073009","3.281325356","-0.001227827","-0.304917303","0.111127046","1.94623695","zagraniczne","2017",0.0493912347106553,8.0101598173516,"Noble Fund Africa and Frontier2017"
"213","Noble Fund Akcji","Noble Fund Akcji",4.05,"Noble Funds","2006-12-01",500,100,"412.6","akcji",4,"4",0,"","4.13","0.000300204","0.008677116","-0.015438777","3.875133103","-0.000254738","-0.009531438","0.075050994","2.177956111","polskie","2017",0.027572178198039,11.7059360730594,"Noble Fund Akcji2017"
"214","Noble Fund Akcji Ma³ych i Œrednich Spó³ek","Noble Fund Akcji Ma³ych i Œrednich Spó³ek",4.05,"Noble Funds","2007-08-01",500,100,"301","akcji",4,"4",0,"20","4.19","0.000421531","0.007476712","-0.013703471","3.439571199","0.00029702","0.104852646","0.105382698","1.876654727","polskie","2017",0.0481616019716556,11.040296803653,"Noble Fund Akcji Ma³ych i Œrednich Spó³ek2017"
"215","Noble Fund Global Return","Noble Fund Global Return",4.1,"Noble Funds","2009-03-13",500,100,"45.6","absolutnej stopy zwrotu",4,"4",0,"10","4.62","-0.000127215","0.004775749","-0.009960251","2.500023073","3.35465E-05","0.006275648","-0.031803729","1.198713002","zagraniczne","2017",-0.0390449831793849,9.42385844748858,"Noble Fund Global Return2017"
"216","Noble Fund Mieszany","Noble Fund Mieszany",4.06,"Noble Funds","2006-12-01",500,100,"100.4","mieszane",4,"4",0,"","4.16","-1.11242E-06","0.003827738","-0.008040933","2.018274175","0.000127263","0.079098096","-0.000278106","0.960762246","zagraniczne","2017",-0.0159020674090893,11.7059360730594,"Noble Fund Mieszany2017"
"217","Noble Fund Obligacji","Noble Fund Obligacji",1.53,"Noble Funds","2014-05-02",500,100,"79.2","d³u¿ne",1.5,"1",0,"","1.53","8.25439E-06","0.001172448","-0.001986857","0.498700982","1.70901E-05","0.008815209","0.002063597","0.294284492","polskie","2017",-0.0439588335494077,4.28413242009132,"Noble Fund Obligacji2017"
