name;mean_daily_log_rr_16;yearly_rr_16;std_daily_log_rr_16;yearly_std_16;var16_5;var16_95;es16;eg16;mean_daily_log_rr_17;yearly_rr_17;std_daily_log_rr_17;yearly_std_17;var17_5;var17_95;es17;eg17
2855;0.000561069;0.140267265;0.009206882;2.310927465;-0.015871153;3.983659301;-0.000511988;-0.135159209;0.000695991;0.17330169;0.006441534;1.610383517;-0.019391323;2.813985012;0.000647607;0.091047857
2856;0.001176129;0.294032284;0.015781736;3.96121575;-0.025869337;6.493203538;-0.001326655;-0.333054776;0.000265175;0.066028464;0.013002873;3.250718215;-0.026392229;6.07209362;0.001589566;0.381610278
2857;0.000658175;0.164543682;0.01073918;2.69553427;-0.020875324;5.239706238;-0.0001076;-0.099779652;0.000633308;0.157693642;0.007532016;1.88300411;-0.021385724;3.494334563;0.000768033;0.138375108
2858;0.000201464;0.050365997;0.007896752;1.982084854;-0.015203483;3.816074299;-0.000570945;-0.151123038;0.000130809;0.032571347;0.000222505;0.055626242;-0.01684748;1.56697575;-0.00029775;-0.184071641
2859;0.000450522;0.112630397;0.010840298;2.720914713;-0.01757776;4.412017681;-0.000324888;-0.07568498;3.31275E-05;0.008248756;0.005519534;1.379883553;-0.018345828;3.426243481;0.001152848;0.340011478
2860;3.20866E-05;0.00802164;0.000370303;0.092946063;-0.000686949;0.172424147;2.9131E-05;0.009438386;0.00011022;0.027444676;0.000320544;0.08013599;-0.000778458;0.131419754;3.36699E-05;0.007643914
2861;0.000151139;0.037784665;0.010539324;2.645370308;-0.022009037;5.524268365;-2.5961E-05;0.064334271;0.000489262;0.121826193;0.007224916;1.80622908;-0.022700514;3.131799454;-0.000529329;-0.04789887
2862;0.000427046;0.106761612;0.012155297;3.050979559;-0.022082184;5.542628247;-0.000813076;-0.171873955;0.000586677;0.14608255;0.006994756;1.748689119;-0.025011608;3.494267751;-0.000101711;0.025256751
2863;0.000220372;0.055092938;0.007567387;1.899414258;-0.01452878;3.646723699;9.33183E-05;0.039471034;-0.000182883;-0.045537987;0.005818325;1.454581133;-0.014152856;2.737946939;-5.66432E-05;0.026931245
2864;0.000797541;0.199385285;0.008350538;2.095985099;-0.016168753;4.058357043;0.000502419;0.136224781;0.000927998;0.231071473;0.006551445;1.637861157;-0.017990719;2.639972071;0.000712369;0.179295869
2865;6.68249E-05;0.016706236;0.000568919;0.14279874;-0.001111528;0.278993461;-4.20208E-05;-0.007409318;5.14583E-05;0.012813107;0.00039927;0.099817603;-0.001073554;0.198185704;6.58189E-05;0.014378186
2866;3.2452E-05;0.00811301;0.002131512;0.535009636;-0.003291899;0.826266543;-0.000176131;-0.028342189;5.67002E-05;0.01411836;0.001256271;0.314067791;-0.003017416;0.79619712;0.000113407;0.031114168
2867;0.001731667;0.432916683;0.016443495;4.127317317;-0.029264743;7.345450526;-6.45559E-05;-0.030190484;-0.000750801;-0.186949564;0.010088176;2.522044053;-0.033264856;5.061471131;0.000778109;0.361217352
2868;-0.000127167;-0.031791872;0.014506494;3.641130057;-0.026257085;6.590528272;-0.001424775;-0.307011085;0.000474409;0.118127791;0.011469364;2.867340962;-0.022578545;5.32103997;0.000326208;0.018550176
2869;0.000503785;0.125946346;0.008528258;2.1405927;-0.015711828;3.943668723;-0.000371693;-0.069580544;0.000342989;0.085404157;0.006031214;1.507803568;-0.016374767;2.857008402;0.000103015;0.079621775
2871;4.47616E-05;0.011190399;0.002370514;0.594998958;-0.003612244;0.906673286;0.000200205;0.068700899;0.000242635;0.060416066;0.001287331;0.321832723;-0.004635333;0.786256826;0.000159102;0.015550267
2873;0.000803527;0.200881755;0.008986027;2.255492833;-0.015769486;3.958140889;-0.000294171;-0.065231384;0.000726644;0.180934233;0.00569916;1.424789894;-0.016978667;3.06433559;0.000391189;0.174875952
2875;0.000336965;0.084241326;0.009184654;2.305348236;-0.014957408;3.754309315;-6.97046E-05;-0.038114968;0.000941108;0.234335781;0.005391934;1.34798357;-0.019140751;2.639730734;0.000476563;0.002078237
2877;6.00039E-05;0.015000963;0.000373115;0.093651958;-0.000493807;0.123945595;5.78977E-05;0.015325611;0.00013337;0.033209125;0.000344926;0.086231583;-0.000589394;0.171525529;6.20253E-05;0.014255354
2879;8.91037E-05;0.022275919;0.002666456;0.669280498;-0.006062213;1.521615485;-4.55703E-05;-0.00134705;0.000110266;0.027456336;0.001162494;0.290623388;-0.006273291;0.647453922;-4.61233E-05;-0.028232566
2881;0.000289754;0.072438439;0.007886362;1.979476758;-0.014709445;3.692070759;7.35318E-05;0.084479189;2.13829E-05;0.005324342;0.004562904;1.140725884;-0.016353788;2.242898813;0.000146525;0.001839499
2883;7.32433E-05;0.018310823;0.001328332;0.333411211;-0.001803661;0.452718794;5.58139E-05;0.017104721;0.000192461;0.047922737;0.00105896;0.264740048;-0.001550386;0.619796696;4.23014E-05;0.006998907
2885;-0.000625079;-0.15626967;0.011440603;2.871591248;-0.018351686;4.606273156;0.000829324;0.230496753;-0.001108928;-0.276123081;0.010113658;2.528414494;-0.019680806;4.444571865;-0.000616031;-0.15418922
2887;0.000789209;0.197302169;0.009358104;2.348883996;-0.016242194;4.076790577;3.53766E-05;-0.038022484;0.000545753;0.13589244;0.006353209;1.588302341;-0.017660025;3.14189987;4.99631E-05;0.158801463
